Timestamp,RTU_1 DuctStatPress(in/wc)
05-Jan-20 03:45:00 am,0.11
05-Jan-20 04:20:00 am,0.10
05-Jan-20 04:55:00 am,0.11
05-Jan-20 05:30:00 am,0.10
05-Jan-20 06:05:00 am,0.11
05-Jan-20 06:40:00 am,0.11
05-Jan-20 07:15:00 am,0.11
05-Jan-20 07:50:00 am,0.10
05-Jan-20 08:25:00 am,0.11
05-Jan-20 09:00:00 am,0.11
05-Jan-20 09:35:00 am,0.11
05-Jan-20 10:10:00 am,0.11
05-Jan-20 10:45:00 am,0.12
05-Jan-20 11:20:00 am,0.11
05-Jan-20 11:55:00 am,0.13
05-Jan-20 12:30:00 pm,0.12
05-Jan-20 01:05:00 pm,0.11
05-Jan-20 01:40:00 pm,0.12
05-Jan-20 02:15:00 pm,0.12
05-Jan-20 02:50:00 pm,0.11
05-Jan-20 03:25:00 pm,0.09
05-Jan-20 04:00:00 pm,0.10
05-Jan-20 04:35:00 pm,0.10
05-Jan-20 05:10:00 pm,0.11
05-Jan-20 05:45:00 pm,0.10
05-Jan-20 06:20:00 pm,0.10
05-Jan-20 06:55:00 pm,0.11
05-Jan-20 07:30:00 pm,0.11
05-Jan-20 08:05:00 pm,0.11
05-Jan-20 08:40:00 pm,0.12
05-Jan-20 09:15:00 pm,0.12
05-Jan-20 09:50:00 pm,0.11
05-Jan-20 10:25:00 pm,0.11
05-Jan-20 11:00:00 pm,0.12
05-Jan-20 11:35:00 pm,0.10
06-Jan-20 12:10:00 am,0.12
06-Jan-20 12:45:00 am,0.11
06-Jan-20 01:20:00 am,0.11
06-Jan-20 01:55:00 am,0.11
06-Jan-20 02:30:00 am,0.11
06-Jan-20 03:05:00 am,0.11
06-Jan-20 03:40:00 am,0.11
06-Jan-20 04:15:00 am,0.09
06-Jan-20 04:50:00 am,0.10
06-Jan-20 05:25:00 am,0.10
06-Jan-20 06:00:00 am,1.23
06-Jan-20 06:35:00 am,1.79
06-Jan-20 07:10:00 am,1.79
06-Jan-20 07:45:00 am,1.80
06-Jan-20 08:20:00 am,1.79
06-Jan-20 08:55:00 am,1.83
06-Jan-20 09:30:00 am,1.78
06-Jan-20 10:05:00 am,1.81
06-Jan-20 10:40:00 am,1.80
06-Jan-20 11:15:00 am,1.80
06-Jan-20 11:50:00 am,1.82
06-Jan-20 12:25:00 pm,1.76
06-Jan-20 01:00:00 pm,1.80
06-Jan-20 01:35:00 pm,1.79
06-Jan-20 02:10:00 pm,1.84
06-Jan-20 02:45:00 pm,1.81
06-Jan-20 03:20:00 pm,1.77
06-Jan-20 03:55:00 pm,1.80
06-Jan-20 04:30:00 pm,1.78
06-Jan-20 05:05:00 pm,1.79
06-Jan-20 05:40:00 pm,1.81
06-Jan-20 06:15:00 pm,0.13
06-Jan-20 06:50:00 pm,0.13
06-Jan-20 07:25:00 pm,0.10
06-Jan-20 08:00:00 pm,0.12
06-Jan-20 08:35:00 pm,0.12
06-Jan-20 09:10:00 pm,0.91
06-Jan-20 09:45:00 pm,0.41
06-Jan-20 10:20:00 pm,0.13
06-Jan-20 10:55:00 pm,0.13
06-Jan-20 11:30:00 pm,0.12
07-Jan-20 12:05:00 am,0.12
07-Jan-20 12:40:00 am,0.12
07-Jan-20 01:15:00 am,0.12
07-Jan-20 01:50:00 am,0.12
07-Jan-20 02:25:00 am,0.11
07-Jan-20 03:00:00 am,0.10
07-Jan-20 03:35:00 am,0.10
