Timestamp,RTU_1 DAClgSetpt(°F)
03-Feb-20 03:04:04 pm,61.4
03-Feb-20 03:09:36 pm,60.3
03-Feb-20 03:14:37 pm,59.3
03-Feb-20 03:19:43 pm,58.3
03-Feb-20 03:24:43 pm,57.3
03-Feb-20 03:29:46 pm,56.3
03-Feb-20 03:35:05 pm,55.2
03-Feb-20 06:05:00 pm,56.4
03-Feb-20 06:10:46 pm,57.5
03-Feb-20 06:15:55 pm,58.5
03-Feb-20 06:21:00 pm,59.6
03-Feb-20 06:26:27 pm,60.7
03-Feb-20 06:31:34 pm,61.7
03-Feb-20 06:36:35 pm,62.7
03-Feb-20 06:42:06 pm,63.8
03-Feb-20 06:47:06 pm,64.8
04-Feb-20 09:31:55 am,63.7
04-Feb-20 09:36:55 am,62.7
04-Feb-20 09:42:35 am,61.6
04-Feb-20 09:47:36 am,60.6
04-Feb-20 09:52:49 am,59.5
04-Feb-20 09:57:50 am,58.5
04-Feb-20 10:02:51 am,57.5
04-Feb-20 10:07:59 am,56.5
04-Feb-20 10:13:21 am,55.4
04-Feb-20 12:46:21 pm,56.4
04-Feb-20 12:51:21 pm,57.4
04-Feb-20 12:56:29 pm,58.4
04-Feb-20 01:01:47 pm,59.5
04-Feb-20 01:07:01 pm,60.6
04-Feb-20 01:12:01 pm,61.6
04-Feb-20 01:17:42 pm,62.7
04-Feb-20 01:22:59 pm,63.7
04-Feb-20 01:28:20 pm,64.8
04-Feb-20 02:52:58 pm,63.7
04-Feb-20 02:58:13 pm,62.7
04-Feb-20 03:03:43 pm,61.6
04-Feb-20 03:09:34 pm,60.4
04-Feb-20 03:14:40 pm,59.4
04-Feb-20 03:20:00 pm,58.3
04-Feb-20 03:25:17 pm,57.3
04-Feb-20 03:30:25 pm,56.3
04-Feb-20 03:35:47 pm,55.2
04-Feb-20 04:03:43 pm,56.3
04-Feb-20 04:09:07 pm,57.4
04-Feb-20 04:14:19 pm,58.4
04-Feb-20 04:19:48 pm,59.5
04-Feb-20 04:24:52 pm,60.5
04-Feb-20 04:30:22 pm,61.6
04-Feb-20 04:35:46 pm,62.7
04-Feb-20 04:41:19 pm,63.8
04-Feb-20 04:47:02 pm,65.0
05-Feb-20 09:49:00 am,63.9
05-Feb-20 09:54:22 am,62.8
05-Feb-20 09:59:23 am,61.8
05-Feb-20 10:05:05 am,60.7
05-Feb-20 10:10:10 am,59.6
05-Feb-20 10:15:23 am,58.6
05-Feb-20 10:20:41 am,57.5
05-Feb-20 10:26:13 am,56.4
05-Feb-20 10:31:56 am,55.3
05-Feb-20 03:50:18 pm,56.3
05-Feb-20 03:55:21 pm,57.3
05-Feb-20 04:20:38 pm,56.3
05-Feb-20 04:26:04 pm,55.2
05-Feb-20 04:44:14 pm,56.2
05-Feb-20 04:49:34 pm,57.3
05-Feb-20 04:55:03 pm,58.4
05-Feb-20 05:00:42 pm,59.5
05-Feb-20 05:06:22 pm,60.7
05-Feb-20 05:11:36 pm,61.7
05-Feb-20 05:16:42 pm,62.7
05-Feb-20 05:21:59 pm,63.8
05-Feb-20 05:27:08 pm,64.8
06-Feb-20 05:25:56 pm,63.7
06-Feb-20 05:31:22 pm,62.7
06-Feb-20 05:36:33 pm,61.6
06-Feb-20 05:55:07 pm,62.8
06-Feb-20 06:00:30 pm,63.9
06-Feb-20 06:06:00 pm,65.0
07-Feb-20 02:45:33 pm,64.0
07-Feb-20 02:50:34 pm,63.0
07-Feb-20 02:55:51 pm,61.9
07-Feb-20 03:01:39 pm,60.8
07-Feb-20 03:06:40 pm,59.7
07-Feb-20 03:12:10 pm,58.6
07-Feb-20 03:17:30 pm,57.6
07-Feb-20 03:22:31 pm,56.6
07-Feb-20 03:27:31 pm,55.6
07-Feb-20 05:58:28 pm,56.6
07-Feb-20 06:03:31 pm,57.6
07-Feb-20 06:08:32 pm,58.6
07-Feb-20 06:13:33 pm,59.6
07-Feb-20 06:18:39 pm,60.6
07-Feb-20 06:23:40 pm,61.6
07-Feb-20 06:29:05 pm,62.7
07-Feb-20 06:34:20 pm,63.8
07-Feb-20 06:39:40 pm,64.8
10-Feb-20 12:58:16 pm,63.7
10-Feb-20 01:03:47 pm,62.6
10-Feb-20 01:09:16 pm,61.5
10-Feb-20 01:14:29 pm,60.4
10-Feb-20 01:19:50 pm,59.3
10-Feb-20 01:25:00 pm,58.3
10-Feb-20 01:30:04 pm,57.3
10-Feb-20 01:35:08 pm,56.3
10-Feb-20 01:40:13 pm,55.3
10-Feb-20 06:06:42 pm,56.3
10-Feb-20 06:11:44 pm,57.3
10-Feb-20 06:16:44 pm,58.3
10-Feb-20 06:22:39 pm,59.5
10-Feb-20 06:27:42 pm,60.5
10-Feb-20 06:32:46 pm,61.5
10-Feb-20 06:37:47 pm,62.5
10-Feb-20 06:43:00 pm,63.5
10-Feb-20 06:48:41 pm,64.7
11-Feb-20 02:02:27 pm,63.5
11-Feb-20 02:07:51 pm,62.5
11-Feb-20 02:13:05 pm,61.4
11-Feb-20 02:19:02 pm,60.2
11-Feb-20 02:24:30 pm,59.1
11-Feb-20 02:30:08 pm,58.0
11-Feb-20 02:35:09 pm,57.0
11-Feb-20 02:41:11 pm,55.8
11-Feb-20 03:20:28 pm,56.9
11-Feb-20 03:25:43 pm,57.9
11-Feb-20 03:31:09 pm,59.0
11-Feb-20 03:36:54 pm,60.2
11-Feb-20 03:42:28 pm,61.3
11-Feb-20 03:47:35 pm,62.3
11-Feb-20 03:52:49 pm,63.4
11-Feb-20 03:58:05 pm,64.4
12-Feb-20 08:17:30 am,63.3
12-Feb-20 08:22:55 am,62.3
12-Feb-20 08:28:20 am,61.2
12-Feb-20 08:33:47 am,60.1
12-Feb-20 08:39:16 am,59.0
12-Feb-20 08:44:23 am,58.0
12-Feb-20 08:49:49 am,56.9
12-Feb-20 08:55:29 am,55.7
12-Feb-20 10:47:56 am,56.9
12-Feb-20 10:53:01 am,57.9
12-Feb-20 10:58:05 am,58.9
12-Feb-20 11:03:23 am,60.0
12-Feb-20 11:08:59 am,61.1
12-Feb-20 11:14:29 am,62.2
12-Feb-20 11:19:48 am,63.3
12-Feb-20 11:24:59 am,64.3
12-Feb-20 02:52:30 pm,63.3
12-Feb-20 02:57:30 pm,62.3
