Timestamp,RTU_1 ControlTemp(°F)
15-Jan-20 03:10:00 pm,68.2
15-Jan-20 03:45:00 pm,68.3
15-Jan-20 04:20:00 pm,68.5
15-Jan-20 04:55:00 pm,68.5
15-Jan-20 05:30:00 pm,68.5
15-Jan-20 06:05:00 pm,64.4
15-Jan-20 06:40:00 pm,62.4
15-Jan-20 07:15:00 pm,61.3
15-Jan-20 07:50:00 pm,60.4
15-Jan-20 08:25:00 pm,59.3
15-Jan-20 09:00:00 pm,61.1
15-Jan-20 09:35:00 pm,63.4
15-Jan-20 10:10:00 pm,61.1
15-Jan-20 10:45:00 pm,60.1
15-Jan-20 11:20:00 pm,59.4
15-Jan-20 11:55:00 pm,59.6
16-Jan-20 12:30:00 am,59.2
16-Jan-20 01:05:00 am,58.6
16-Jan-20 01:40:00 am,58.9
16-Jan-20 02:15:00 am,58.9
16-Jan-20 02:50:00 am,58.8
16-Jan-20 03:25:00 am,58.7
16-Jan-20 04:00:00 am,61.2
16-Jan-20 04:35:00 am,63.0
16-Jan-20 05:10:00 am,63.6
16-Jan-20 05:45:00 am,64.8
16-Jan-20 06:20:00 am,67.4
16-Jan-20 06:55:00 am,67.6
16-Jan-20 07:30:00 am,67.8
16-Jan-20 08:05:00 am,67.9
16-Jan-20 08:40:00 am,68.0
16-Jan-20 09:15:00 am,68.2
16-Jan-20 09:50:00 am,68.5
16-Jan-20 10:25:00 am,68.5
16-Jan-20 11:00:00 am,68.5
16-Jan-20 11:35:00 am,68.5
16-Jan-20 12:10:00 pm,68.5
16-Jan-20 12:45:00 pm,68.5
16-Jan-20 01:20:00 pm,68.5
16-Jan-20 01:55:00 pm,68.7
16-Jan-20 02:30:00 pm,69.0
16-Jan-20 03:05:00 pm,68.3
16-Jan-20 03:40:00 pm,68.0
16-Jan-20 04:15:00 pm,67.6
16-Jan-20 04:50:00 pm,67.4
16-Jan-20 05:25:00 pm,67.9
16-Jan-20 06:00:00 pm,65.8
16-Jan-20 06:35:00 pm,63.3
16-Jan-20 07:10:00 pm,63.1
16-Jan-20 07:45:00 pm,61.5
16-Jan-20 08:20:00 pm,60.4
16-Jan-20 08:55:00 pm,60.0
16-Jan-20 09:30:00 pm,59.6
16-Jan-20 10:05:00 pm,59.5
16-Jan-20 10:40:00 pm,59.7
16-Jan-20 11:15:00 pm,59.5
16-Jan-20 11:50:00 pm,59.7
17-Jan-20 12:25:00 am,59.7
17-Jan-20 01:00:00 am,59.2
17-Jan-20 01:35:00 am,59.0
17-Jan-20 02:10:00 am,58.7
17-Jan-20 02:45:00 am,58.6
17-Jan-20 03:20:00 am,58.5
17-Jan-20 03:55:00 am,60.2
17-Jan-20 04:30:00 am,62.8
17-Jan-20 05:05:00 am,63.5
17-Jan-20 05:40:00 am,64.0
17-Jan-20 06:15:00 am,67.0
17-Jan-20 06:50:00 am,67.3
17-Jan-20 07:25:00 am,67.5
17-Jan-20 08:00:00 am,67.6
17-Jan-20 08:35:00 am,68.0
17-Jan-20 09:10:00 am,68.1
17-Jan-20 09:45:00 am,68.3
17-Jan-20 10:20:00 am,68.5
17-Jan-20 10:55:00 am,68.6
