Timestamp,RTU_1 OutdoorTemp(°F)
10-Jan-20 03:00:00 pm,46.0
10-Jan-20 03:35:00 pm,45.6
10-Jan-20 04:10:00 pm,44.1
10-Jan-20 04:45:00 pm,44.5
10-Jan-20 05:20:00 pm,44.5
10-Jan-20 05:55:00 pm,46.0
10-Jan-20 06:30:00 pm,46.6
10-Jan-20 07:05:00 pm,46.1
10-Jan-20 07:40:00 pm,46.1
10-Jan-20 08:15:00 pm,46.0
10-Jan-20 08:50:00 pm,46.0
10-Jan-20 09:25:00 pm,45.9
10-Jan-20 10:00:00 pm,46.1
10-Jan-20 10:35:00 pm,46.1
10-Jan-20 11:10:00 pm,45.9
10-Jan-20 11:45:00 pm,46.8
11-Jan-20 12:20:00 am,46.5
11-Jan-20 12:55:00 am,46.0
11-Jan-20 01:30:00 am,46.3
11-Jan-20 02:05:00 am,46.7
11-Jan-20 02:40:00 am,46.2
11-Jan-20 03:15:00 am,45.9
11-Jan-20 03:50:00 am,45.7
11-Jan-20 04:25:00 am,45.6
11-Jan-20 05:00:00 am,45.5
11-Jan-20 05:35:00 am,45.2
11-Jan-20 06:10:00 am,45.2
11-Jan-20 06:45:00 am,45.1
11-Jan-20 07:20:00 am,45.5
11-Jan-20 07:55:00 am,45.7
11-Jan-20 08:30:00 am,45.6
11-Jan-20 09:05:00 am,45.9
11-Jan-20 09:40:00 am,45.6
11-Jan-20 10:15:00 am,45.3
11-Jan-20 10:50:00 am,45.3
11-Jan-20 11:25:00 am,46.0
11-Jan-20 12:00:00 pm,46.2
11-Jan-20 12:35:00 pm,46.2
11-Jan-20 01:10:00 pm,46.1
11-Jan-20 01:45:00 pm,46.4
11-Jan-20 02:20:00 pm,54.6
11-Jan-20 02:55:00 pm,53.0
11-Jan-20 03:30:00 pm,47.0
11-Jan-20 04:05:00 pm,46.4
11-Jan-20 04:40:00 pm,46.0
11-Jan-20 05:15:00 pm,46.0
11-Jan-20 05:50:00 pm,45.8
11-Jan-20 06:25:00 pm,45.9
11-Jan-20 07:00:00 pm,45.6
11-Jan-20 07:35:00 pm,44.7
11-Jan-20 08:10:00 pm,43.3
11-Jan-20 08:45:00 pm,43.3
11-Jan-20 09:20:00 pm,43.3
11-Jan-20 09:55:00 pm,44.0
11-Jan-20 10:30:00 pm,43.2
11-Jan-20 11:05:00 pm,42.2
11-Jan-20 11:40:00 pm,42.2
12-Jan-20 12:15:00 am,42.0
12-Jan-20 12:50:00 am,42.2
12-Jan-20 01:25:00 am,42.7
12-Jan-20 02:00:00 am,42.1
12-Jan-20 02:35:00 am,42.4
12-Jan-20 03:10:00 am,42.7
12-Jan-20 03:45:00 am,42.8
12-Jan-20 04:20:00 am,42.7
12-Jan-20 04:55:00 am,43.2
12-Jan-20 05:30:00 am,43.8
